id,ingredient
0,brown sugar
1,milk
2,vanilla
3,nuts
4,butter
5,bite size shredded rice biscuits
6,beef
7,chicken breasts
8,cream of mushroom soup
9,sour cream
10,frozen corn
11,cream cheese
12,garlic powder
13,salt
14,pepper
15,chicken
16,chicken gravy
17,shredded cheese
18,peanut butter
19,graham cracker crumbs
20,powdered sugar
21,chocolate chips
22,baking potatoes
23,extra lean ground beef
24,cheddar cheese
25,bacon
26,green onion
27,sugar
28,egg
29,buttermilk
30,flour
31,soda
32,rhubarb
33,cream-style corn
34,whole kernel corn
35,crackers
36,tomatoes
37,water
38,onions
39,worcestershire sauce
40,green peppers
41,oil
42,pineapple
43,condensed milk
44,lemons
45,pecans
46,graham cracker crusts
47,dark sweet pitted cherries
48,ginger ale
49,flavor gelatin
50,boiling water
51,almond extract
52,marshmallows
53,paraffin
54,barbecue sauce
55,taco sauce
56,ground beef
57,taco seasoning
58,shredded lettuce
59,tomato
60,onion
61,green pepper
62,pie filling
63,lemon juice
64,shell
65,cleaned strawberries
66,cornstarch
67,strawberry jello
68,chocolate fudge cake
69,white cake
70,wesson oil
71,broccoli
72,green onions
73,raisins
74,mayonnaise
75,vinegar
76,frozen strawberries
77,bananas
78,strawberry
79,shortening
80,applesauce
81,cinnamon
82,eggs
83,cake mix
84,chocolate fudge pudding
85,frango
86,vegetable oil
87,soy sauce
88,garlic
89,tomato paste
90,peppers
91,sweet basil
92,oregano
93,italian seasoning
94,tomato juice
95,oats
96,steak
97,ground black pepper
98,ground white pepper
99,bell peppers
100,beef stock
101,ground red pepper
102,celery
103,long
104,cooking oil
105,tomato sauce
106,mustard
107,semi-sweet chocolate chips
108,unsweetened chocolate
109,beans
110,salsa
111,yeast
112,crisco oil
113,peaches
114,fruit cocktail
115,fresh strawberries
116,red apples
117,yellow apples
118,white grapes
119,purple grapes
120,chicken cutlets
121,red vinegar
122,garlic salt
123,cherry pie mix
124,deluxe white cake mix
125,ground nuts
126,potatoes
127,macaroni
128,tuna
129,pimentos
130,hearts
131,parmesan cheese
132,vegetable soup mix
133,salad supreme
134,italian dressing
135,pear halves
136,lime gelatin
137,lemon yogurt
138,watermelon rind
139,apple vinegar
140,oil of cinnamon
141,corn
142,english peas
143,peas
144,butter beans
145,black pepper
146,baking powder
147,margarine
148,warm water
149,peppermint candy
150,crescent rolls
151,yellow cake mix
152,oleo
153,chocolate syrup
154,beer
155,curry powder
156,mushrooms
157,cream of celery soup
158,cheese
159,egg yolks
160,multi-colored candies
161,onion soup
162,frozen mixed vegetables
163,cream of chicken soup
164,green chili salsa sauce
165,green chilies
166,corn tortilla
167,cabbage
168,carrots
169,flounder
170,salad oil
171,basil
172,drops red pepper sauce
173,green beans
174,yellow beans
175,kidney beans
176,cream-style
177,corn bread
178,tomato soup
179,noodles
180,dry mustard
181,corned beef
182,mozzarella cheese
183,black olives
184,tortilla chips
185,coconut
186,nut meats
187,orange sliced candy
188,angel
189,orange flavoring
190,yellow cake
191,rice
192,granulated sugar
193,baking soda
194,cocoa
195,apples
196,cold water
197,nutmeg
198,cloves
199,cornflakes
200,vanilla wafers
201,white corn syrup
202,egg whites
203,corn flake crumbs
204,bisquick
205,sausage
206,consomme
207,catsup
208,chicken broth
209,apple juice
210,allspice
211,whole cloves
212,sesame seed
213,grated ginger
214,honey
215,vegetable cooking spray
216,thin green onion strips
217,vidalia onion
218,fresh mushrooms
219,clove garlic
220,olive oil
221,bread
222,cranberries
223,apple
224,orange
225,orange gelatin
226,beef consomme
227,cranberry sauce
228,walnuts
229,whipping cream
230,velveeta cheese
231,italian tomatoes
232,green chili peppers
233,confectioners sugar
234,velveeta
235,squash
236,stuffing mix
237,pimento
238,tabasco sauce
239,apricot jello
240,jars junior baby food
241,sweet milk
242,vanilla pudding
243,hen
244,spanish rice
245,pork
246,bell pepper
247,carrot chunks
248,ginger
249,oranges
250,moist coconut
251,cherries
252,orange juice
253,zucchini
254,ricotta cheese
255,shredded monterey jack
256,frozen spinach
257,dill weed
258,red cabbage
259,cider vinegar
260,frozen green beans
261,red wine
262,thyme
263,ground cloves
264,instant tea
265,manwich
266,hamburg
267,american cheese
268,lime
269,red spanish
270,brandy
271,triple sec
272,club soda
273,hamburger
274,ketchup
275,beef bouillon
276,cooking oats
277,chinese noodles
278,campbell's cream
279,cashews
280,ham
281,pimiento
282,parsley
283,armour dried beef
284,shells
285,broccoli flowerets
286,cauliflower
287,italian salad dressing
288,frozen artichoke
289,ground chuck
290,egg noodles
291,grated cheese
292,chunk white chicken
293,almonds
294,water chestnuts
295,nonfat mayonnaise
296,meal
297,vermicelli
298,purple onion
299,salad supreme seasoning
300,cucumbers
301,white vinegar
302,dill
303,your choice
304,spaghetti
305,steak seasoning
306,sharp cheese
307,celery salt
308,onion salt
309,olives
310,parsley flakes
311,pistachio pie filling
312,blueberries
313,instant vanilla pudding
314,yellow lima beans
315,green baby
316,syrup
317,chili powder
318,cake
319,apricot nectar
320,alfalfa honey
321,cream of chicken
322,bite
323,romano cheese
324,artichokes
325,chicken stock
326,bay leaf
327,lemon flavor
328,yellow food coloring
329,pickles
330,horseradish
331,pickle juice
332,clump
333,tater
334,flavored gelatin
335,fresh blackberries
336,pastry shell
337,slivered almonds
338,caramel topping
339,miracle
340,frozen broccoli
341,mix
342,cottage cheese
343,potato
344,green sweet peppers
345,ground turkey
346,sweet peas
347,flaked coconut
348,chocolate pudding
349,white sugar
350,unflavored gelatine
351,pumpkin
352,pie shells
353,ground nutmeg
354,cream
355,cereal
356,yellow hominy
357,tamales
358,guacamole dip
359,cake yeast
360,olive
361,arborio
362,spinach
363,eggplant
364,fresh parsley
365,marjoram
366,rosemary
367,red
368,white cake mix
369,+
370,pistachio instant pudding
371,cool whip
372,cranberry juice
373,o
374,frozen lemonade
375,sweet potatoes
376,vanilla flavor
377,butternut flavor
378,ground cinnamon
379,wild rice
380,condensed cream
381,cornflake crumbs
382,bacon drippings
383,paprika
384,green peas
385,cream of tartar
386,beef hash
387,hash browns
388,grated sharp
389,lean hamburger
390,lasagne noodles
391,new potatoes
392,stalks celery
393,hot bacon
394,light brown sugar
395,sauce
396,biscuit mix
397,chocolate wafers
398,mushroom soup
399,maraschino cherries
400,dates
401,chocolate
402,onion powder
403,croutons
404,baking chocolate
405,milk chocolate
406,semi-sweet chocolate
407,candied cherries
408,all-purpose
409,vanilla instant pudding
410,nonfat plain yogurt
411,heavy cream
412,mandarin juice
413,mandarin oranges
414,grapes
415,strawberries
416,pie shell
417,beef brisket
418,tapioca
419,peach slices
420,lime sherbet
421,corn meal
422,bacon fat
423,pork roast
424,sherry
425,pork tenderloin
426,flax seed
427,no
428,pecan pieces
429,frozen lemonade concentrate
430,orange juice concentrate
431,grenadine syrup
432,veg-all
433,roll
434,instant pudding
435,fritos
436,vegetable shortening
437,ground meat
438,corn muffin
439,sweet onions
440,cayenne pepper
441,white lily
442,cracker crumbs
443,onion soup mix
444,sour milk
445,warm beer
446,mushroom stems
447,cooking apples
448,apple pie spice
449,twinkies
450,chocolate cake
451,black coffee
452,lean ground beef
453,shredded monterey jack cheese
454,corn tortillas
455,frozen limas
456,deli beef
457,green bell pepper
458,floured blueberries
459,caramel sauce
460,sweet sausage
461,bread crumbs
462,unsalted soda crackers
463,celery stalks
464,salad
465,fully cooked canadian bacon
466,muenster
467,marshmallow fluff
468,unflavored gelatin
469,swiss cheese
470,crisp fried bacon
471,peanut oil
472,ginger root
473,lean pork
474,bamboo shoots
475,frozen pea pods
476,sesame oil
477,frozen raspberry
478,frozen raspberries
479,graham cracker crust
480,cherry pie filling
481,regular
482,clams
483,dream whip
484,cold milk
485,commerical sour cream
486,vanilla extract
487,fresh blueberries
488,black walnuts
489,frankfurters
490,campbell's chunky
491,whole kernel golden corn
492,lima beans
493,lemon jell-o
494,graham crackers
495,cake flour
496,egg white
497,almond flavoring
498,baby food
499,pinto beans
500,marshmallow cream
501,head lettuce
502,bacon bits
503,frozen peas
504,unsweetened cocoa
505,light corn syrup
506,persimmon pulp
507,peanuts
508,whipped cream
509,candied fruit
510,tortillas
511,fresh fruits
512,fresh cranberries
513,taco
514,fruit yogurt
515,red wine vinegar
516,coconut flavoring
517,rum flavoring
518,ramen noodles
519,broccoli florets
520,romaine lettuce
521,ground raisins
522,lemon
523,egg yolk
524,brown rice
525,lard
526,bean sprouts
527,mixed vegetables
528,graham cracker crumb crust
529,n
530,wine vinegar
531,currant jelly
532,crisco
533,vanilla flavoring
534,light cream
535,pepperoni
536,pineapple juice
537,peach juice from
538,crushed ice
539,bay leaves
540,ground cumin
541,ground allspice
542,fresh dill
543,corn flakes
544,rolls
545,fresh apples
546,white karo syrup
547,apricot preserves
548,salad dressing
549,sweet chocolate chips
550,dinner rolls
551,butterscotch pudding
552,sweet relish
553,chili sauce
554,unsweetened applesauce
555,oatmeal
556,almond
557,chunky spaghetti sauce
558,tamari sauce
559,tarragon
560,chicken bouillon
561,lemon jello
562,grated carrot
563,pineapple tidbits
564,maraschino cherry
565,white syrup
566,unsalted butter
567,skinless
568,mushroom
569,caraway
570,melted crisco
571,vanilla ice cream
572,sauerkraut
573,caraway seed
574,rye bread
575,irish potatoes
576,chicken soup
577,corn syrup
578,oysters
579,oyster liquid
580,banana
