1001,Solids,G
1002,Nitrogen,G
1003,Protein,G
1004,Total lipid (fat),G
1005,"Carbohydrate, by difference",G
1006,"Fiber, crude (DO NOT USE - Archived)",G
1007,Ash,G
1008,Energy,KCAL
1009,Starch,G
1010,Sucrose,G
1011,Glucose,G
1012,Fructose,G
1013,Lactose,G
1014,Maltose,G
1015,Amylose,G
1016,Amylopectin,G
1017,Pectin,G
1018,"Alcohol, ethyl",G
1019,Pentosan,G
1020,Pentoses,G
1021,Hemicellulose,G
1022,Cellulose,G
1023,pH,PH
1024,Specific Gravity,SP_GR
1025,Organic acids,G
1026,Acetic acid,MG
1027,Aconitic acid,MG
1028,Benzoic acid,MG
1029,Chelidonic acid,MG
1030,Chlorogenic acid,MG
1031,Cinnamic acid,MG
1032,Citric acid,MG
1033,Fumaric acid,MG
1034,Galacturonic acid,MG
1035,Gallic acid,MG
1036,Glycolic acid,MG
1037,Isocitric acid,MG
1038,Lactic acid,MG
1039,Malic acid,MG
1040,Oxaloacetic acid,MG
1041,Oxalic acid,MG
1042,Phytic acid,MG
1043,Pyruvic acid,MG
1044,Quinic acid,MG
1045,Salicylic acid,MG
1046,Succinic acid,MG
1047,Tartaric acid,MG
1048,Ursolic acid,MG
1049,"Solids, non-fat",G
1050,"Carbohydrate, by summation",G
1051,Water,G
1052,Adjusted Nitrogen,G
1053,Adjusted Protein,G
1054,Piperine,G
1055,Mannitol,G
1056,Sorbitol,G
1057,Caffeine,MG
1058,Theobromine,MG
1059,Nitrates,MG
1060,Nitrites,MG
1061,"Nitrosamine,total",MG
1062,Energy,kJ
1063,"Sugars, Total",G
1064,"Solids, soluble",G
1065,Glycogen,G
1066,"Fiber, neutral detergent (DO NOT USE - Archived)",G
1067,Reducing sugars,G
1068,Beta-glucans,G
1069,Oligosaccharides,G
1070,Nonstarch polysaccharides,G
1071,Resistant starch,G
1072,"Carbohydrate, other",G
1073,Arabinose,G
1074,Xylose,G
1075,Galactose,G
1076,Raffinose,G
1077,Stachyose,G
1078,Xylitol,G
