fdc_id,food,count(*)
2341752,abalone,1
167782,"abiyuch, raw",1
171687,"acerola juice, raw",2
171687,"acerola juice, raw",2
171686,"acerola, west indian cherry, raw",2
171686,"acerola, west indian cherry, raw",2
2344293,"adobo, with noodles",1
2344443,"adobo, with rice",1
2345842,agave liquid sweetener,2
2345842,agave liquid sweetener,2
334196,"albertsons granulated sugar, granulated white ca2   nfy040y31",2
334196,"albertsons granulated sugar, granulated white ca2   nfy040y31",2
168749,"alcoholic beverage, beer, light",1
169572,"alcoholic beverage, beer, light, bud light",2
169572,"alcoholic beverage, beer, light, bud light",2
168748,"alcoholic beverage, beer, light, budweiser select",2
168748,"alcoholic beverage, beer, light, budweiser select",2
174145,"alcoholic beverage, beer, light, higher alcohol",1
169575,"alcoholic beverage, beer, light, low carb",2
169575,"alcoholic beverage, beer, light, low carb",2
168746,"alcoholic beverage, beer, regular, all",2
168746,"alcoholic beverage, beer, regular, all",2
168747,"alcoholic beverage, beer, regular, budweiser",2
168747,"alcoholic beverage, beer, regular, budweiser",2
173168,"alcoholic beverage, creme de menthe, 72 proof",1
169573,"alcoholic beverage, daiquiri, canned",1
169574,"alcoholic beverage, daiquiri, prepared from recipe",1
173664,"alcoholic beverage, distilled, all gin, rum, vodka, whiskey 100 proof",2
173664,"alcoholic beverage, distilled, all gin, rum, vodka, whiskey 100 proof",2
174815,"alcoholic beverage, distilled, all gin, rum, vodka, whiskey 80 proof",1
171919,"alcoholic beverage, distilled, all gin, rum, vodka, whiskey 86 proof",1
171920,"alcoholic beverage, distilled, all gin, rum, vodka, whiskey 90 proof",2
171920,"alcoholic beverage, distilled, all gin, rum, vodka, whiskey 90 proof",2
173663,"alcoholic beverage, distilled, all gin, rum, vodka, whiskey 94 proof",2
173663,"alcoholic beverage, distilled, all gin, rum, vodka, whiskey 94 proof",2
174817,"alcoholic beverage, distilled, rum, 80 proof",2
174817,"alcoholic beverage, distilled, rum, 80 proof",2
174818,"alcoholic beverage, distilled, vodka, 80 proof",2
174818,"alcoholic beverage, distilled, vodka, 80 proof",2
174819,"alcoholic beverage, distilled, whiskey, 86 proof",1
175098,"alcoholic beverage, liqueur, coffee with cream, 34 proof",2
175098,"alcoholic beverage, liqueur, coffee with cream, 34 proof",2
175097,"alcoholic beverage, liqueur, coffee, 53 proof",1
173665,"alcoholic beverage, liqueur, coffee, 63 proof",2
173665,"alcoholic beverage, liqueur, coffee, 63 proof",2
174141,"alcoholic beverage, malt beer, hard lemonade",1
168750,"alcoholic beverage, pina colada, canned",1
168752,"alcoholic beverage, pina colada, prepared from recipe",1
167723,"alcoholic beverage, rice sake",1
168753,"alcoholic beverage, tequila sunrise, canned",1
173662,"alcoholic beverage, whiskey sour",2
173662,"alcoholic beverage, whiskey sour",2
174810,"alcoholic beverage, whiskey sour, canned",1
174812,"alcoholic beverage, whiskey sour, prepared from item 14028",1
173164,"alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",2
173164,"alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",2
169070,"alcoholic beverage, wine, cooking",2
169070,"alcoholic beverage, wine, cooking",2
175112,"alcoholic beverage, wine, dessert, dry",1
173176,"alcoholic beverage, wine, dessert, sweet",1
169071,"alcoholic beverage, wine, light",1
173185,"alcoholic beverage, wine, table, all",1
173190,"alcoholic beverage, wine, table, red",1
173191,"alcoholic beverage, wine, table, red, barbera",1
